date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:23:29	44812/44812	---M-Z	200	added ('OK')	image/jpeg	date:Tue,%2001%20May%202018%2014:08:37%20GMT	https://composersunion.ge/uploads/icons/logo_ge.jpg	I:/OFFWeb/ComPII/ComP/uploads/icons/logo_ge.jpg	(from https://www.composersunion.ge/)
14:23:32	105586/105586	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2013:23:44%20GMT	https://www.composersunion.ge/chvens-shesakheb/istoria/tavmjdomareebi.html	I:/OFFWeb/ComPII/ComP/chvens-shesakheb/istoria/tavmjdomareebi.html	(from https://www.composersunion.ge/)
14:23:33	105586/105586	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2013:23:46%20GMT	https://www.composersunion.ge/chvens-shesakheb/struqtura/wesdeba.html	I:/OFFWeb/ComPII/ComP/chvens-shesakheb/struqtura/wesdeba.html	(from https://www.composersunion.ge/)
14:23:34	105586/105586	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2013:23:47%20GMT	https://www.composersunion.ge/chvens-shesakheb/struqtura/gamgeoba-1.html	I:/OFFWeb/ComPII/ComP/chvens-shesakheb/struqtura/gamgeoba-1.html	(from https://www.composersunion.ge/)
14:23:35	105586/105586	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2013:23:48%20GMT	https://www.composersunion.ge/chvens-shesakheb/struqtura/tavmjdomare-1.html	I:/OFFWeb/ComPII/ComP/chvens-shesakheb/struqtura/tavmjdomare-1.html	(from https://www.composersunion.ge/)
14:23:35	105586/105586	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2013:23:48%20GMT	https://www.composersunion.ge/chvens-shesakheb/struqtura/sarevizio-komisia-1.html	I:/OFFWeb/ComPII/ComP/chvens-shesakheb/struqtura/sarevizio-komisia-1.html	(from https://www.composersunion.ge/)
14:23:35	105586/105586	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2013:23:49%20GMT	https://www.composersunion.ge/chvens-shesakheb/struqtura/sabcwo.html	I:/OFFWeb/ComPII/ComP/chvens-shesakheb/struqtura/sabcwo.html	(from https://www.composersunion.ge/)
14:23:36	105586/105586	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2013:23:49%20GMT	https://www.composersunion.ge/chvens-shesakheb/struqtura/zhurnali-musika.html	I:/OFFWeb/ComPII/ComP/chvens-shesakheb/struqtura/zhurnali-musika.html	(from https://www.composersunion.ge/)
14:23:36	105586/105586	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2013:23:49%20GMT	https://www.composersunion.ge/chvens-shesakheb/struqtura/sh-p-s-muspondi.html	I:/OFFWeb/ComPII/ComP/chvens-shesakheb/struqtura/sh-p-s-muspondi.html	(from https://www.composersunion.ge/)
14:23:37	114584/114584	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2013:23:50%20GMT	https://www.composersunion.ge/kavshiris-wevrebi/kompozitorebi.html	I:/OFFWeb/ComPII/ComP/kavshiris-wevrebi/kompozitorebi.html	(from https://www.composersunion.ge/)
